Ballot,ID,Year,Region,Gender,Race,Education,Marital,Religion,Happy,Income,PolParty,Politics,OwnGun,GunLaw,SpendMilitary,SpendEduc,SpendEnv,SpendSci,SpendSpace,SpendDrug,Pres12,Postlife
Ballot b,12,2018,New england,Female,Other,High school,Separated,Protestant,Pretty happy,$20000 - 24999,Not str democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Obama,Yes
Ballot a,13,2018,New england,Female,White,High school,Divorced,Catholic,Not too happy,$20000 - 24999,Not str democrat,Moderate,No,Favor,About right,Too little,Too little,Too little,Too much,Too little,Not applicable,Yes
Ballot c,14,2018,Middle atlantic,Male,Black,Bachelor,Married,Catholic,Very happy,$25000 or more,Strong democrat,Slightly liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot b,15,2018,Middle atlantic,Female,Black,High school,Never married,None,Pretty happy,$1000 to 2999,"Ind,near rep",Liberal,Not applicable,Not applicable,About right,Too little,Too little,About right,About right,Too little,Obama,Yes
Ballot a,16,2018,Middle atlantic,Female,White,High school,Widowed,Catholic,Pretty happy,$25000 or more,Independent,Slghtly conservative,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot b,17,2018,Middle atlantic,Female,White,Bachelor,Married,None,Not too happy,$25000 or more,"Ind,near dem",Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot a,18,2018,Middle atlantic,Female,White,Bachelor,Married,Moslem/islam,Very happy,Don't know,Independent,Conservative,No,Favor,About right,Too little,About right,About right,Don't know,Don't know,Not applicable,Yes
Ballot c,19,2018,Middle atlantic,Female,White,Graduate,Divorced,Protestant,Pretty happy,$25000 or more,Not str democrat,Liberal,No,Favor,About right,Too little,Too little,Too little,About right,Too little,Obama,Don't know
Ballot b,20,2018,Middle atlantic,Male,White,Graduate,Never married,Catholic,Not too happy,Don't know,"Ind,near rep",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,Yes
Ballot a,21,2018,Middle atlantic,Female,White,High school,Married,Orthodox-christian,Very happy,$25000 or more,Not str republican,Conservative,No,Favor,About right,Too little,Too little,About right,Too much,Too little,Not applicable,Yes
Ballot c,22,2018,Middle atlantic,Female,Other,Junior college,Never married,Protestant,Pretty happy,Don't know,Not str republican,Conservative,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,23,2018,Middle atlantic,Female,White,Junior college,Married,Catholic,Pretty happy,$25000 or more,"Ind,near dem",Moderate,Not applicable,Not applicable,About right,About right,About right,About right,Too much,About right,Obama,Yes
Ballot a,24,2018,Middle atlantic,Male,White,High school,Never married,Buddhism,Very happy,$25000 or more,Strong democrat,Extremely liberal,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,25,2018,Middle atlantic,Female,White,Bachelor,Married,Protestant,Very happy,$25000 or more,Not str republican,Conservative,No,Oppose,About right,Too little,Too little,About right,About right,Too little,Romney,Yes
Ballot c,26,2018,Middle atlantic,Male,White,Lt high school,Widowed,Catholic,Very happy,$25000 or more,Not str republican,Moderate,No,Favor,Too little,About right,Too little,About right,About right,Too little,No answer,No
Ballot a,27,2018,Middle atlantic,Female,White,High school,Divorced,Catholic,Pretty happy,$25000 or more,Not str democrat,Moderate,No,Favor,Too much,About right,Don't know,About right,Too much,Too little,Obama,Yes
Ballot c,28,2018,Middle atlantic,Female,Black,Lt high school,Never married,Protestant,Not too happy,$10000 - 14999,Not str democrat,Moderate,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,29,2018,Middle atlantic,Female,White,High school,Divorced,Catholic,Not too happy,$25000 or more,Strong republican,Extrmly conservative,Not applicable,Not applicable,About right,Too little,Too little,Too little,About right,Too little,Don't know,Yes
Ballot c,30,2018,Middle atlantic,Male,White,High school,Never married,Catholic,Pretty happy,$25000 or more,"Ind,near rep",Liberal,No,Favor,About right,About right,Too little,Too little,About right,Too little,Not applicable,Yes
Ballot b,31,2018,Middle atlantic,Female,White,High school,Married,Catholic,Pretty happy,Refused,"Ind,near rep",Extrmly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot c,32,2018,Middle atlantic,Male,White,Lt high school,Married,Catholic,Not too happy,$25000 or more,Strong republican,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,33,2018,Middle atlantic,Female,White,Bachelor,Married,Protestant,Pretty happy,Refused,Independent,Moderate,Not applicable,Not applicable,About right,About right,Too little,Too little,About right,Too little,Romney,Yes
Ballot a,34,2018,Middle atlantic,Female,White,Bachelor,Divorced,None,Pretty happy,$25000 or more,Not str democrat,Extremely liberal,No,Oppose,Too much,Too little,Too little,Too little,About right,Too much,Obama,No
Ballot b,35,2018,Middle atlantic,Female,White,Lt high school,Divorced,Protestant,Very happy,Refused,"Ind,near dem",Conservative,Not applicable,Not applicable,Too little,Too little,Too little,About right,Too much,Too little,Obama,Yes
Ballot c,36,2018,Middle atlantic,Male,White,Graduate,Married,Jewish,Very happy,$25000 or more,Strong republican,Extrmly conservative,No,Oppose,Too little,About right,Don't know,About right,About right,Too little,Romney,No
Ballot a,37,2018,Middle atlantic,Female,White,Graduate,Widowed,Jewish,Pretty happy,$25000 or more,Strong democrat,Moderate,No,Favor,Too much,Too little,Too little,About right,About right,Too little,Obama,No
Ballot c,38,2018,Middle atlantic,Male,White,Graduate,Never married,None,Not too happy,$25000 or more,Strong democrat,Extremely liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot b,39,2018,Middle atlantic,Male,White,Graduate,Married,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Slghtly conservative,Not applicable,Not applicable,About right,About right,Too little,About right,About right,Too little,Not applicable,Yes
Ballot a,40,2018,Middle atlantic,Female,Black,High school,No answer,None,Pretty happy,Refused,No answer,Moderate,Refused,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,No answer,Don't know
Ballot b,41,2018,Middle atlantic,Female,White,High school,Divorced,None,Pretty happy,$10000 - 14999,Strong democrat,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Obama,Yes
Ballot a,42,2018,Middle atlantic,Male,White,High school,Never married,Catholic,Pretty happy,$25000 or more,Not str democrat,Moderate,No,Favor,Too little,About right,Too little,About right,Too much,About right,Not applicable,Yes
Ballot b,43,2018,Middle atlantic,Female,White,High school,Widowed,Catholic,Very happy,$25000 or more,Strong democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,44,2018,Middle atlantic,Male,Other,Graduate,Married,Other,Pretty happy,Refused,Strong democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,45,2018,Middle atlantic,Female,White,Bachelor,Divorced,Moslem/islam,Pretty happy,$25000 or more,"Ind,near dem",Liberal,No,Favor,About right,Too little,Too little,About right,About right,Too little,Obama,Yes
Ballot b,46,2018,Middle atlantic,Female,White,High school,Widowed,Catholic,Not too happy,$25000 or more,Not str democrat,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Not applicable,No
Ballot b,47,2018,Middle atlantic,Male,White,Graduate,Married,Catholic,Pretty happy,$25000 or more,Not str democrat,Slightly liberal,Not applicable,Not applicable,Too much,About right,Too little,About right,About right,About right,Not applicable,No
Ballot b,48,2018,Middle atlantic,Female,White,Graduate,Married,Catholic,Pretty happy,Refused,Not str democrat,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,49,2018,Middle atlantic,Male,White,Bachelor,Divorced,Protestant,Pretty happy,$25000 or more,Not str republican,Conservative,Not applicable,Not applicable,Too little,Too little,Too little,Too little,About right,Too little,Romney,Yes
Ballot a,50,2018,Middle atlantic,Female,White,Bachelor,Divorced,Other,Pretty happy,$25000 or more,"Ind,near dem",Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,51,2018,Middle atlantic,Male,White,High school,Never married,Catholic,Pretty happy,Don't know,Independent,Don't know,No,Favor,About right,Too little,Too little,Too little,Too little,Too little,Not applicable,Yes
Ballot a,52,2018,Middle atlantic,Female,White,High school,Separated,Protestant,Not too happy,$25000 or more,Not str democrat,Moderate,No,Favor,About right,Too little,Too little,About right,About right,Too little,Obama,Yes
Ballot b,53,2018,Middle atlantic,Female,White,Graduate,Divorced,Jewish,Pretty happy,$25000 or more,Independent,Moderate,Not applicable,Not applicable,About right,Too much,Too little,About right,About right,Too little,Not applicable,Don't know
Ballot c,54,2018,Middle atlantic,Female,Other,Graduate,Married,Hinduism,Very happy,$25000 or more,Independent,Moderate,No,Favor,About right,Too little,Too little,About right,Don't know,Too little,Not applicable,Yes
Ballot b,55,2018,Middle atlantic,Male,White,Bachelor,Married,None,Pretty happy,Refused,Independent,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,No
Ballot c,56,2018,Middle atlantic,Male,White,Bachelor,Divorced,Catholic,Pretty happy,$25000 or more,Not str republican,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,57,2018,Middle atlantic,Female,White,Bachelor,Married,Catholic,Pretty happy,$25000 or more,Independent,Moderate,Not applicable,Not applicable,About right,Too little,Too little,Too little,Too little,Too little,Obama,Yes
Ballot a,58,2018,Middle atlantic,Female,Black,High school,Never married,Protestant,Not too happy,$8000 to 9999,"Ind,near dem",Don't know,No,Favor,About right,Too little,Too little,Don't know,Too much,Don't know,No answer,Yes
Ballot c,59,2018,Middle atlantic,Male,White,Lt high school,Never married,Catholic,Pretty happy,$25000 or more,Not str democrat,Conservative,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,60,2018,Middle atlantic,Female,Black,High school,Separated,None,Not too happy,$7000 to 7999,Not str democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,61,2018,Middle atlantic,Female,Black,High school,Married,Other,Pretty happy,$5000 to 5999,Strong democrat,Liberal,No,Favor,Too much,About right,Too little,Too little,About right,About right,Not applicable,Yes
Ballot b,62,2018,Middle atlantic,Female,Black,Lt high school,Married,Protestant,Not too happy,$25000 or more,Strong democrat,Extremely liberal,Not applicable,Not applicable,Too little,Too little,Too little,Don't know,Too much,Too little,Obama,Yes
Ballot a,63,2018,Middle atlantic,Female,Black,Bachelor,Never married,Protestant,Pretty happy,$25000 or more,Strong democrat,Moderate,No,Favor,About right,Too little,Too little,Too little,Too little,Too little,Obama,Yes
Ballot a,64,2018,Middle atlantic,Female,Black,High school,Widowed,Protestant,Pretty happy,$25000 or more,Strong democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,65,2018,Middle atlantic,Male,Black,Lt high school,Never married,None,Pretty happy,Don't know,"Ind,near rep",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,No answer,Yes
Ballot a,66,2018,Middle atlantic,Male,Black,Graduate,Divorced,Protestant,Not too happy,$20000 - 24999,"Ind,near dem",Liberal,No,Favor,Too much,Too little,Too little,Too little,About right,Too much,Obama,Yes
Ballot a,67,2018,Middle atlantic,Male,White,High school,Married,Protestant,Pretty happy,$25000 or more,Not str democrat,Conservative,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,No
Ballot c,68,2018,Middle atlantic,Female,Black,High school,Separated,Protestant,Very happy,$25000 or more,Strong democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,69,2018,Middle atlantic,Female,Black,Graduate,Never married,Protestant,Pretty happy,$25000 or more,Strong democrat,Slightly liberal,No,Favor,Too much,Too little,Too little,Too little,About right,About right,Obama,Yes
Ballot b,70,2018,Middle atlantic,Female,Black,Bachelor,Married,Protestant,Very happy,$15000 - 19999,Not str democrat,Extremely liberal,Not applicable,Not applicable,Too much,Too little,Too little,Too little,Too much,Too little,Obama,No
Ballot b,71,2018,Middle atlantic,Male,White,High school,Never married,Catholic,Pretty happy,$8000 to 9999,Strong democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot b,72,2018,Middle atlantic,Male,Black,Junior college,Married,Protestant,Pretty happy,$25000 or more,Strong democrat,Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,73,2018,Middle atlantic,Female,Other,Bachelor,Married,None,Very happy,$25000 or more,Independent,Slightly liberal,No,Favor,Don't know,About right,Too little,Too little,Don't know,About right,Not applicable,No
Ballot c,74,2018,Middle atlantic,Female,White,Graduate,Married,Catholic,Pretty happy,Refused,Not str democrat,Liberal,No,Favor,Too much,Too little,Too little,About right,About right,Too little,Obama,No
Ballot c,75,2018,Middle atlantic,Male,White,High school,Never married,None,Pretty happy,$25000 or more,Other party,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot a,76,2018,Middle atlantic,Female,Black,Junior college,Never married,Protestant,Very happy,Refused,Independent,Conservative,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Don't know
Ballot c,77,2018,Middle atlantic,Female,White,Bachelor,Married,Catholic,Very happy,Refused,Independent,Moderate,No,Favor,About right,Too little,Too little,About right,About right,About right,Romney,Don't know
Ballot b,78,2018,Middle atlantic,Female,White,Lt high school,Widowed,Catholic,Pretty happy,$25000 or more,Independent,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,No answer,Yes
Ballot c,79,2018,Middle atlantic,Female,Other,Junior college,Married,No answer,Pretty happy,Refused,Independent,Moderate,Refused,Favor,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,No answer,No answer
Ballot b,80,2018,Middle atlantic,Female,Other,Lt high school,Married,No answer,Very happy,Refused,No answer,No answer,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,No answer,Don't know
Ballot a,81,2018,Middle atlantic,Female,Black,Bachelor,Married,Protestant,Pretty happy,$25000 or more,"Ind,near dem",Liberal,No,Favor,About right,Too little,Too little,About right,Too little,About right,Obama,Don't know
Ballot a,82,2018,Middle atlantic,Female,Black,High school,Married,No answer,Pretty happy,$25000 or more,Not str democrat,No answer,No,Favor,Too little,Too little,Too little,Too little,Too much,Too little,Obama,No answer
Ballot b,83,2018,Middle atlantic,Female,Other,High school,Divorced,Catholic,Very happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,Too little,Too little,Too little,About right,Too little,Too little,Not applicable,Yes
Ballot a,84,2018,Middle atlantic,Female,White,High school,Married,Catholic,Very happy,$25000 or more,Not str democrat,Extrmly conservative,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,No
Ballot c,85,2018,Middle atlantic,Male,White,High school,Separated,Catholic,Pretty happy,$25000 or more,Not str republican,Conservative,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot b,86,2018,Middle atlantic,Male,Black,Bachelor,Never married,None,Pretty happy,$25000 or more,Not str democrat,Slightly liberal,Not applicable,Not applicable,Too little,Too little,Too little,About right,Too much,Too little,Not applicable,Don't know
Ballot b,87,2018,Middle atlantic,Female,Other,High school,Never married,Protestant,Pretty happy,$25000 or more,Strong democrat,Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,88,2018,Middle atlantic,Male,White,High school,Married,None,Pretty happy,Refused,Strong democrat,Extremely liberal,No,Oppose,About right,Too little,Too little,About right,Too little,Too little,Obama,No
Ballot b,89,2018,Middle atlantic,Male,White,Graduate,Married,Protestant,Pretty happy,$25000 or more,Strong democrat,Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,No
Ballot b,90,2018,Middle atlantic,Male,Other,Graduate,Never married,Moslem/islam,Pretty happy,$8000 to 9999,Not str democrat,Moderate,Not applicable,Not applicable,Too much,Too little,Too little,Too little,Too little,Too little,Obama,Yes
Ballot b,91,2018,Middle atlantic,Male,White,Graduate,Never married,None,Pretty happy,$25000 or more,"Ind,near dem",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,92,2018,Middle atlantic,Female,White,Graduate,Married,Protestant,Not too happy,$25000 or more,Strong democrat,Extremely liberal,No,Favor,Too much,Too little,Too little,About right,Too little,Too little,Obama,Yes
Ballot b,93,2018,Middle atlantic,Male,Other,Graduate,Never married,Hinduism,Very happy,Refused,Independent,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Don't know
Ballot b,94,2018,Middle atlantic,Female,Black,Lt high school,Widowed,None,Not too happy,Refused,"Ind,near dem",Liberal,Not applicable,Not applicable,About right,Too little,About right,Too little,Too much,Too little,Obama,Yes
Ballot a,95,2018,Middle atlantic,Female,Black,Bachelor,Never married,Protestant,Pretty happy,$25000 or more,"Ind,near dem",Liberal,Yes,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,96,2018,Middle atlantic,Male,Black,High school,Never married,Protestant,Pretty happy,Refused,Not str democrat,Liberal,Don't know,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot c,97,2018,Middle atlantic,Female,Black,High school,Married,Protestant,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,Too much,Too little,Too little,Too much,Too much,Too little,Obama,Don't know
Ballot a,98,2018,Middle atlantic,Male,Black,Bachelor,Separated,Catholic,Very happy,$25000 or more,Strong democrat,Slghtly conservative,No,Favor,About right,Too little,Too little,About right,Too little,Too little,Obama,Yes
Ballot c,99,2018,Middle atlantic,Female,Other,High school,Married,Moslem/islam,Pretty happy,Refused,Not str democrat,Moderate,No,No answer,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,100,2018,Middle atlantic,Female,White,Lt high school,Widowed,Catholic,Very happy,$8000 to 9999,"Ind,near rep",Moderate,No,Favor,About right,Too little,About right,Too much,About right,Too little,Not applicable,Don't know
Ballot a,101,2018,Middle atlantic,Male,Other,Lt high school,Divorced,Catholic,Not too happy,$25000 or more,"Ind,near rep",Conservative,No,Oppose,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Romney,Don't know
Ballot a,102,2018,Middle atlantic,Female,Other,High school,Divorced,Hinduism,Not too happy,$1000 to 2999,Not str democrat,Liberal,No,Favor,About right,Too much,About right,Don't know,Too much,Don't know,Obama,No
Ballot c,103,2018,Middle atlantic,Male,Other,Graduate,Married,None,Pretty happy,Refused,"Ind,near dem",Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot c,104,2018,Middle atlantic,Female,White,High school,Married,Catholic,Very happy,$25000 or more,"Ind,near rep",Slghtly conservative,No,Favor,About right,Too little,Too little,About right,About right,Too little,Romney,Yes
Ballot b,105,2018,Middle atlantic,Male,White,Graduate,Never married,Jewish,Pretty happy,$25000 or more,Strong democrat,Extremely liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot a,106,2018,Middle atlantic,Male,White,High school,Never married,Catholic,Pretty happy,$25000 or more,"Ind,near rep",Slghtly conservative,No,Oppose,About right,Too little,About right,About right,About right,Too little,Romney,Yes
Ballot b,107,2018,Middle atlantic,Male,White,High school,Never married,Catholic,Pretty happy,$25000 or more,Not str republican,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot b,108,2018,Middle atlantic,Female,White,High school,Never married,Catholic,Pretty happy,Refused,Independent,Don't know,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot c,109,2018,Middle atlantic,Female,White,Bachelor,Married,Catholic,Very happy,Refused,Independent,No answer,No,Favor,About right,Too little,Too little,Too little,About right,Too little,Obama,Yes
Ballot b,110,2018,Middle atlantic,Female,White,Junior college,Married,Catholic,Not too happy,$25000 or more,Independent,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,111,2018,Middle atlantic,Female,White,Junior college,Divorced,Protestant,Very happy,$25000 or more,Strong democrat,Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot b,112,2018,Middle atlantic,Female,White,High school,Married,Catholic,Very happy,$25000 or more,Not str democrat,Conservative,Not applicable,Not applicable,Too little,Too little,Too little,About right,About right,About right,Not applicable,Yes
Ballot b,113,2018,Middle atlantic,Male,White,Junior college,Never married,None,Pretty happy,$25000 or more,Strong democrat,Extremely liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot b,114,2018,Middle atlantic,Female,White,High school,Divorced,Catholic,Not too happy,$10000 - 14999,Not str democrat,Don't know,Not applicable,Not applicable,Too much,Too little,Too little,Too little,Don't know,Too little,Obama,Don't know
Ballot b,115,2018,Middle atlantic,Male,White,Bachelor,Married,Protestant,Pretty happy,Refused,Not str democrat,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,No
Ballot a,116,2018,Middle atlantic,Male,White,Bachelor,Married,Catholic,Very happy,Refused,Other party,Slghtly conservative,No,Favor,Too much,Too little,Too little,About right,Too little,Too little,Romney,Yes
Ballot b,117,2018,Middle atlantic,Male,Black,Lt high school,Married,None,Pretty happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,118,2018,New england,Female,White,Junior college,Married,None,Pretty happy,$25000 or more,Independent,Moderate,Yes,Favor,Too little,Too little,Too little,Too little,About right,About right,Not applicable,Yes
Ballot c,119,2018,New england,Female,White,High school,Married,Catholic,Very happy,$25000 or more,Not str republican,Slghtly conservative,No,Favor,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Not applicable,Yes
Ballot a,120,2018,New england,Male,White,High school,Never married,Catholic,Pretty happy,$25000 or more,"Ind,near rep",Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Obama,No
Ballot c,121,2018,New england,Female,White,High school,Married,None,Pretty happy,$25000 or more,"Ind,near rep",Conservative,Yes,Favor,Too little,Too little,Too little,Too much,Too much,Too little,Not applicable,Yes
Ballot a,122,2018,New england,Female,White,High school,Married,Catholic,Pretty happy,$25000 or more,Independent,Extrmly conservative,Yes,Oppose,Too little,Too little,Too little,About right,About right,About right,Not applicable,Yes
Ballot c,123,2018,Pacific,Female,White,Bachelor,Widowed,Protestant,Pretty happy,$25000 or more,Strong democrat,Extremely liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot c,124,2018,Pacific,Female,White,Bachelor,Married,Protestant,Pretty happy,$25000 or more,"Ind,near dem",Slghtly conservative,No,Oppose,Too little,Too little,Too little,About right,About right,Too little,No answer,Yes
Ballot a,125,2018,Pacific,Male,White,Bachelor,Never married,Protestant,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,About right,Too little,Too little,Too little,Too little,Too little,Obama,Yes
Ballot b,126,2018,Pacific,Male,Other,Graduate,Never married,None,Pretty happy,$25000 or more,Not str democrat,Slightly liberal,Not applicable,Not applicable,About right,Too little,Too little,About right,Too much,Too much,Obama,No
Ballot a,127,2018,Pacific,Female,White,Graduate,Married,Jewish,Pretty happy,$25000 or more,Strong republican,Conservative,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,128,2018,Pacific,Female,White,Bachelor,Never married,Protestant,Very happy,Lt $1000,Not str democrat,Slightly liberal,No,Favor,Too much,Too little,Too little,Too little,Don't know,Too little,Not applicable,Yes
